DATE,CPF3M
1/1/2001,5.51
2/1/2001,5.19
3/1/2001,4.81
4/1/2001,4.47
5/1/2001,3.96
6/1/2001,3.69
7/1/2001,3.62
8/1/2001,3.44
9/1/2001,2.84
10/1/2001,2.29
11/1/2001,2
12/1/2001,1.81
1/1/2002,1.72
2/1/2002,1.8
3/1/2002,1.87
4/1/2002,1.83
5/1/2002,1.8
6/1/2002,1.78
7/1/2002,1.76
8/1/2002,1.71
9/1/2002,1.74
10/1/2002,1.71
11/1/2002,1.37
12/1/2002,1.32
1/1/2003,1.27
2/1/2003,1.25
3/1/2003,1.21
4/1/2003,1.23
5/1/2003,1.2
6/1/2003,1.02
7/1/2003,1.03
8/1/2003,1.06
9/1/2003,1.06
10/1/2003,1.06
11/1/2003,1.08
12/1/2003,1.07
1/1/2004,1.04
2/1/2004,1.03
3/1/2004,1.03
4/1/2004,1.06
5/1/2004,1.16
6/1/2004,1.39
7/1/2004,1.51
8/1/2004,1.65
9/1/2004,1.81
10/1/2004,1.97
11/1/2004,2.2
12/1/2004,2.38
1/1/2005,2.56
2/1/2005,2.71
3/1/2005,2.91
4/1/2005,3.02
5/1/2005,3.15
6/1/2005,3.3
7/1/2005,3.49
8/1/2005,3.69
9/1/2005,3.79
10/1/2005,4.05
11/1/2005,4.23
12/1/2005,4.37
1/1/2006,4.48
2/1/2006,4.63
3/1/2006,4.79
4/1/2006,4.94
5/1/2006,5.05
6/1/2006,5.25
7/1/2006,5.37
8/1/2006,5.29
9/1/2006,5.25
10/1/2006,5.24
11/1/2006,5.24
12/1/2006,5.24
1/1/2007,5.24
2/1/2007,5.23
3/1/2007,5.22
4/1/2007,5.23
5/1/2007,5.23
6/1/2007,5.25
7/1/2007,5.25
8/1/2007,5.3
9/1/2007,5.19
10/1/2007,4.91
11/1/2007,4.75
12/1/2007,4.76
1/1/2008,3.7
2/1/2008,3.03
3/1/2008,2.7
4/1/2008,2.72
5/1/2008,2.61
6/1/2008,2.7
7/1/2008,2.72
8/1/2008,2.76
9/1/2008,2.91
10/1/2008,3.19
11/1/2008,1.54
12/1/2008,1.09
1/1/2009,1.1
2/1/2009,0.67
3/1/2009,0.62
4/1/2009,0.48
5/1/2009,0.37
6/1/2009,0.36
7/1/2009,0.33
8/1/2009,0.29
9/1/2009,0.23
10/1/2009,0.22
11/1/2009,0.19
12/1/2009,0.2
1/1/2010,0.18
2/1/2010,0.2
3/1/2010,0.24
4/1/2010,0.3
5/1/2010,0.44
6/1/2010,0.46
7/1/2010,0.37
8/1/2010,0.27
9/1/2010,0.25
10/1/2010,0.25
11/1/2010,0.25
12/1/2010,0.27
1/1/2011,0.26
2/1/2011,0.25
3/1/2011,0.23
4/1/2011,0.22
5/1/2011,0.18
6/1/2011,0.17
7/1/2011,0.17
8/1/2011,0.21
9/1/2011,0.22
10/1/2011,0.24
11/1/2011,0.21
12/1/2011,0.18
1/1/2012,0.26
2/1/2012,0.21
3/1/2012,0.2
4/1/2012,0.2
5/1/2012,0.2
6/1/2012,0.21
7/1/2012,0.24
8/1/2012,0.19
9/1/2012,0.17
10/1/2012,0.19
11/1/2012,0.21
12/1/2012,0.17
1/1/2013,0.19
2/1/2013,0.16
3/1/2013,0.15
4/1/2013,0.16
5/1/2013,0.14
6/1/2013,0.14
7/1/2013,0.14
8/1/2013,0.12
9/1/2013,0.11
10/1/2013,0.12
11/1/2013,0.12
12/1/2013,0.14
1/1/2014,0.12
2/1/2014,0.13
3/1/2014,0.12
4/1/2014,0.12
5/1/2014,0.11
6/1/2014,0.11
7/1/2014,0.13
8/1/2014,0.13
9/1/2014,0.12
10/1/2014,0.12
11/1/2014,0.13
12/1/2014,0.15
1/1/2015,0.16
2/1/2015,0.15
3/1/2015,0.14
4/1/2015,0.13
5/1/2015,0.15
6/1/2015,0.18
7/1/2015,0.19
8/1/2015,0.26
9/1/2015,0.27
10/1/2015,0.25
11/1/2015,0.3
12/1/2015,0.54
1/1/2016,0.57
2/1/2016,0.54
3/1/2016,0.55
4/1/2016,0.55
5/1/2016,0.57
6/1/2016,0.55
7/1/2016,0.62
8/1/2016,0.73
9/1/2016,0.75
10/1/2016,0.72
11/1/2016,0.71
12/1/2016,0.87
1/1/2017,0.9
2/1/2017,0.87
3/1/2017,0.98
4/1/2017,1.03
5/1/2017,1.05
6/1/2017,1.16
7/1/2017,1.22
8/1/2017,1.25
9/1/2017,1.25
10/1/2017,1.26
11/1/2017,1.32
12/1/2017,1.54
1/1/2018,1.63
2/1/2018,1.78
3/1/2018,2.08
4/1/2018,2.2
5/1/2018,2.16
6/1/2018,2.19
7/1/2018,2.17
8/1/2018,2.19
9/1/2018,2.24
10/1/2018,2.37
11/1/2018,2.56
12/1/2018,2.69
1/1/2019,2.59
2/1/2019,2.49
3/1/2019,2.48
4/1/2019,2.47
5/1/2019,2.44
6/1/2019,2.3
7/1/2019,2.22
8/1/2019,2.06
9/1/2019,2.03
10/1/2019,1.88
11/1/2019,1.77
12/1/2019,1.76
1/1/2020,1.65
2/1/2020,1.59
3/1/2020,1.35
4/1/2020,0.76
5/1/2020,0.17
6/1/2020,0.2
7/1/2020,0.18
8/1/2020,0.15
9/1/2020,0.13
10/1/2020,0.12
11/1/2020,0.16
12/1/2020,0.17
1/1/2021,0.14
2/1/2021,0.11
3/1/2021,0.1
4/1/2021,0.11
5/1/2021,0.1
