DATE,DTBSPCKFM
2001-01-01,662456.085938
2001-02-01,649658.195313
2001-03-01,652172.078125
2001-04-01,664129.382813
2001-05-01,626340.398438
2001-06-01,634920.257813
2001-07-01,627161.210938
2001-08-01,582051.929688
2001-09-01,584735.757813
2001-10-01,564607.96875
2001-11-01,548353.7500
2001-12-01,557466.726563
2002-01-01,549884.664063
2002-02-01,557007.148438
2002-03-01,534804.765625
2002-04-01,535594.140625
2002-05-01,534556.8750
2002-06-01,517704.09375
2002-07-01,523929.078125
2002-08-01,530696.867188
2002-09-01,523700.273438
2002-10-01,528144.140625
2002-11-01,528098.976563
2002-12-01,529266.945313
2003-01-01,539060.59375
2003-02-01,528659.109865
2003-03-01,535285.584096
2003-04-01,538120.499129
2003-05-01,543333.754256
2003-06-01,535174.099902
2003-07-01,530072.439737
2003-08-01,511362.196213
2003-09-01,505550.145403
2003-10-01,531075.1635
2003-11-01,527728.047396
2003-12-01,518558.728848
2004-01-01,526736.370061
2004-02-01,545703.855724
2004-03-01,547722.78378
2004-04-01,545070.608804
2004-05-01,544095.012874
2004-06-01,538505.647723
2004-07-01,554322.601385
2004-08-01,559801.099378
2004-09-01,562289.691373
2004-10-01,566885.185084
2004-11-01,580736.069186
2004-12-01,587465.251293
2005-01-01,556484.405859
2005-02-01,577996.604887
2005-03-01,586385.56365
2005-04-01,599389.045769
2005-05-01,610412.090572
2005-06-01,638522.041017
2005-07-01,639371.747884
2005-08-01,649468.620267
2005-09-01,662469.314414
2005-10-01,670260.962989
2005-11-01,677467.559419
2005-12-01,660989.673494
2006-01-01,657177.090046
2006-02-01,662914.517826
2006-03-01,665361.208378
2006-04-01,673546.286813
2006-05-01,687360.014959
2006-06-01,670268.355164
2006-07-01,681569.764561
2006-08-01,700505.779226
2006-09-01,718146.396735
2006-10-01,722511.924545
2006-11-01,733914.107244
2006-12-01,726280.169966
2007-01-01,742119.557707
2007-02-01,765804.652448
2007-03-01,771525.500854
2007-04-01,767412.216703
2007-05-01,783413.938084
2007-06-01,769083.258748
2007-07-01,789739.849779
2007-08-01,742231.314417
2007-09-01,745604.462565
2007-10-01,817474.395827
2007-11-01,822204.18766
2007-12-01,814897.910872
2008-01-01,853267.31412
2008-02-01,844130.518104
2008-03-01,835174.311599
2008-04-01,802298.42335
2008-05-01,810879.140073
2008-06-01,817090.010989
2008-07-01,808109.033438
2008-08-01,833744.137758
2008-09-01,711562.537166
2008-10-01,670894.013948
2008-11-01,678539.105151
2008-12-01,731262.311274
2009-01-01,630828.850936
2009-02-01,588513.844297
2009-03-01,637733.904084
2009-04-01,574139.711743
2009-05-01,559660.445313
2009-06-01,576688.750334
2009-07-01,498451.734375
2009-08-01,540396.1250
2009-09-01,626028.68117
2009-10-01,604084.056093
2009-11-01,609470.684229
2009-12-01,577167.589602
2010-01-01,596144.484158
2010-02-01,580818.869689
2010-03-01,572472.841186
2010-04-01,556179.993862
2010-05-01,532687.925571
2010-06-01,516976.746834
2010-07-01,522833.360391
2010-08-01,521566.517966
2010-09-01,540543.354195
2010-10-01,528314.450522
2010-11-01,529134.115473
2010-12-01,530415.553919
2011-01-01,508991.324801
2011-02-01,536701.180199
2011-03-01,559989.325917
2011-04-01,633245.72582
2011-05-01,627678.797388
2011-06-01,606743.334357
2011-07-01,556452.323585
2011-08-01,557529.328125
2011-09-01,513589.399478
2011-10-01,489988.693062
2011-11-01,478606.530239
2011-12-01,433927.131264
2012-01-01,445344.726354
2012-02-01,444933.213715
2012-03-01,440586.234375
2012-04-01,443630.296875
2012-05-01,456332.4375
2012-06-01,469715.359375
2012-07-01,497252.5000
2012-08-01,499963.921875
2012-09-01,495443.994375
2012-10-01,493522.0000
2012-11-01,501298.105105
2012-12-01,508723.01625
2013-01-01,555671.611259
2013-02-01,523833.61471
2013-03-01,504259.937839
2013-04-01,532057.096587
2013-05-01,541696.369741
2013-06-01,515298.250192
2013-07-01,526476.975664
2013-08-01,510897.262695
2013-09-01,506142.600942
2013-10-01,572266.970799
2013-11-01,582744.907906
2013-12-01,554839.858942
2014-01-01,532058.927423
2014-02-01,530537.593912
2014-03-01,505545.944675
2014-04-01,507932.580672
2014-05-01,501029.695304
2014-06-01,494268.140909
2014-07-01,491960.139744
2014-08-01,504350.233854
2014-09-01,516578.236085
2014-10-01,535848.436194
2014-11-01,543058.642026
2014-12-01,531174.164472
2015-01-01,499702.406887
2015-02-01,505863.433775
2015-03-01,505104.971685
2015-04-01,488738.497993
2015-05-01,482327.588787
2015-06-01,512266.38639
2015-07-01,518480.965687
2015-08-01,537006.006855
2015-09-01,535285.938837
2015-10-01,506706.456037
2015-11-01,508937.00458
2015-12-01,515032.949239
2016-01-01,493515.59375
2016-02-01,488379.96875
2016-03-01,555746.8750
2016-04-01,530634.453125
2016-05-01,522526.255348
2016-06-01,529383.571121
2016-07-01,502351.671993
2016-08-01,460643.429808
2016-09-01,448857.923653
2016-10-01,407955.516896
2016-11-01,394792.128241
2016-12-01,459323.97359
2017-01-01,434882.18217
2017-02-01,446661.084351
2017-03-01,466616.599443
2017-04-01,417061.029435
2017-05-01,429979.401428
2017-06-01,433795.97975
2017-07-01,421021.335446
2017-08-01,435686.17017
2017-09-01,498215.665273
2017-10-01,476735.843393
2017-11-01,498738.275232
2017-12-01,511200.698602
2018-01-01,556154.342804
2018-02-01,542826.600837
2018-03-01,502226.144199
2018-04-01,505174.813445
2018-05-01,513989.590458
2018-06-01,502375.948641
2018-07-01,498369.875885
2018-08-01,506882.989382
2018-09-01,519739.945574
2018-10-01,541735.406609
2018-11-01,548390.351206
2018-12-01,534936.934903
2019-01-01,512434.761107
2019-02-01,501943.411273
2019-03-01,496462.196351
2019-04-01,506460.419956
2019-05-01,521998.265625
2019-06-01,545855.015625
2019-07-01,554745.039345
2019-08-01,557459.50506
2019-09-01,561730.243953
2019-10-01,551124.714342
2019-11-01,561339.501331
2019-12-01,554427.728704
2020-01-01,568890.492741
2020-02-01,565858.702351
2020-03-01,517977.646524
2020-04-01,537811.925625
2020-05-01,517941.115324
2020-06-01,519781.078125
2020-07-01,529646.984375
2020-08-01,542589.890625
2020-09-01,524505.296875
2020-10-01,515661.515625
2020-11-01,518646.175049
2020-12-01,558493.842529
2021-01-01,580783.834473
2021-02-01,613335.239746
2021-03-01,693273.943359
2021-04-01,718173.987305
2021-05-01,740651.441895
