DATE,GS3M
2001-07-01,3.59
2001-08-01,3.44
2001-09-01,2.69
2001-10-01,2.20
2001-11-01,1.91
2001-12-01,1.72
2002-01-01,1.68
2002-02-01,1.76
2002-03-01,1.83
2002-04-01,1.75
2002-05-01,1.76
2002-06-01,1.73
2002-07-01,1.71
2002-08-01,1.65
2002-09-01,1.66
2002-10-01,1.61
2002-11-01,1.25
2002-12-01,1.21
2003-01-01,1.19
2003-02-01,1.19
2003-03-01,1.15
2003-04-01,1.15
2003-05-01,1.09
2003-06-01,0.94
2003-07-01,0.92
2003-08-01,0.97
2003-09-01,0.96
2003-10-01,0.94
2003-11-01,0.95
2003-12-01,0.91
2004-01-01,0.90
2004-02-01,0.94
2004-03-01,0.95
2004-04-01,0.96
2004-05-01,1.04
2004-06-01,1.29
2004-07-01,1.36
2004-08-01,1.50
2004-09-01,1.68
2004-10-01,1.79
2004-11-01,2.11
2004-12-01,2.22
2005-01-01,2.37
2005-02-01,2.58
2005-03-01,2.80
2005-04-01,2.84
2005-05-01,2.90
2005-06-01,3.04
2005-07-01,3.29
2005-08-01,3.52
2005-09-01,3.49
2005-10-01,3.79
2005-11-01,3.97
2005-12-01,3.97
2006-01-01,4.34
2006-02-01,4.54
2006-03-01,4.63
2006-04-01,4.72
2006-05-01,4.84
2006-06-01,4.92
2006-07-01,5.08
2006-08-01,5.09
2006-09-01,4.93
2006-10-01,5.05
2006-11-01,5.07
2006-12-01,4.97
2007-01-01,5.11
2007-02-01,5.16
2007-03-01,5.08
2007-04-01,5.01
2007-05-01,4.87
2007-06-01,4.74
2007-07-01,4.96
2007-08-01,4.32
2007-09-01,3.99
2007-10-01,4.00
2007-11-01,3.35
2007-12-01,3.07
2008-01-01,2.82
2008-02-01,2.17
2008-03-01,1.28
2008-04-01,1.31
2008-05-01,1.76
2008-06-01,1.89
2008-07-01,1.66
2008-08-01,1.75
2008-09-01,1.15
2008-10-01,0.69
2008-11-01,0.19
2008-12-01,0.03
2009-01-01,0.13
2009-02-01,0.30
2009-03-01,0.22
2009-04-01,0.16
2009-05-01,0.18
2009-06-01,0.18
2009-07-01,0.18
2009-08-01,0.17
2009-09-01,0.12
2009-10-01,0.07
2009-11-01,0.05
2009-12-01,0.05
2010-01-01,0.06
2010-02-01,0.11
2010-03-01,0.15
2010-04-01,0.16
2010-05-01,0.16
2010-06-01,0.12
2010-07-01,0.16
2010-08-01,0.16
2010-09-01,0.15
2010-10-01,0.13
2010-11-01,0.14
2010-12-01,0.14
2011-01-01,0.15
2011-02-01,0.13
2011-03-01,0.10
2011-04-01,0.06
2011-05-01,0.04
2011-06-01,0.04
2011-07-01,0.04
2011-08-01,0.02
2011-09-01,0.01
2011-10-01,0.02
2011-11-01,0.01
2011-12-01,0.01
2012-01-01,0.03
2012-02-01,0.09
2012-03-01,0.08
2012-04-01,0.08
2012-05-01,0.09
2012-06-01,0.09
2012-07-01,0.10
2012-08-01,0.10
2012-09-01,0.11
2012-10-01,0.10
2012-11-01,0.09
2012-12-01,0.07
2013-01-01,0.07
2013-02-01,0.10
2013-03-01,0.09
2013-04-01,0.06
2013-05-01,0.04
2013-06-01,0.05
2013-07-01,0.04
2013-08-01,0.04
2013-09-01,0.02
2013-10-01,0.05
2013-11-01,0.07
2013-12-01,0.07
2014-01-01,0.04
2014-02-01,0.05
2014-03-01,0.05
2014-04-01,0.03
2014-05-01,0.03
2014-06-01,0.04
2014-07-01,0.03
2014-08-01,0.03
2014-09-01,0.02
2014-10-01,0.02
2014-11-01,0.02
2014-12-01,0.03
2015-01-01,0.03
2015-02-01,0.02
2015-03-01,0.03
2015-04-01,0.02
2015-05-01,0.02
2015-06-01,0.02
2015-07-01,0.03
2015-08-01,0.07
2015-09-01,0.02
2015-10-01,0.02
2015-11-01,0.13
2015-12-01,0.23
2016-01-01,0.26
2016-02-01,0.31
2016-03-01,0.30
2016-04-01,0.23
2016-05-01,0.28
2016-06-01,0.27
2016-07-01,0.30
2016-08-01,0.30
2016-09-01,0.29
2016-10-01,0.33
2016-11-01,0.45
2016-12-01,0.51
2017-01-01,0.52
2017-02-01,0.53
2017-03-01,0.75
2017-04-01,0.81
2017-05-01,0.90
2017-06-01,1.00
2017-07-01,1.09
2017-08-01,1.03
2017-09-01,1.05
2017-10-01,1.09
2017-11-01,1.25
2017-12-01,1.34
2018-01-01,1.43
2018-02-01,1.59
2018-03-01,1.73
2018-04-01,1.79
2018-05-01,1.90
2018-06-01,1.94
2018-07-01,1.99
2018-08-01,2.07
2018-09-01,2.17
2018-10-01,2.29
2018-11-01,2.37
2018-12-01,2.41
2019-01-01,2.42
2019-02-01,2.44
2019-03-01,2.45
2019-04-01,2.43
2019-05-01,2.40
2019-06-01,2.22
2019-07-01,2.15
2019-08-01,1.99
2019-09-01,1.93
2019-10-01,1.68
2019-11-01,1.57
2019-12-01,1.57
2020-01-01,1.55
2020-02-01,1.54
2020-03-01,0.30
2020-04-01,0.14
2020-05-01,0.13
2020-06-01,0.16
2020-07-01,0.13
2020-08-01,0.10
2020-09-01,0.11
2020-10-01,0.10
2020-11-01,0.09
2020-12-01,0.09
2021-01-01,0.08
2021-02-01,0.04
2021-03-01,0.03
2021-04-01,0.02
2021-05-01,0.02
