DATE,JTU5300QUL
2000-12-01,50
2001-01-01,80
2001-02-01,29
2001-03-01,28
2001-04-01,52
2001-05-01,36
2001-06-01,54
2001-07-01,72
2001-08-01,51
2001-09-01,39
2001-10-01,42
2001-11-01,26
2001-12-01,18
2002-01-01,64
2002-02-01,31
2002-03-01,34
2002-04-01,59
2002-05-01,26
2002-06-01,43
2002-07-01,64
2002-08-01,49
2002-09-01,38
2002-10-01,34
2002-11-01,26
2002-12-01,38
2003-01-01,41
2003-02-01,40
2003-03-01,32
2003-04-01,76
2003-05-01,42
2003-06-01,50
2003-07-01,47
2003-08-01,49
2003-09-01,45
2003-10-01,51
2003-11-01,29
2003-12-01,28
2004-01-01,40
2004-02-01,29
2004-03-01,28
2004-04-01,58
2004-05-01,61
2004-06-01,70
2004-07-01,90
2004-08-01,43
2004-09-01,52
2004-10-01,66
2004-11-01,24
2004-12-01,28
2005-01-01,63
2005-02-01,23
2005-03-01,33
2005-04-01,44
2005-05-01,54
2005-06-01,55
2005-07-01,43
2005-08-01,55
2005-09-01,51
2005-10-01,44
2005-11-01,29
2005-12-01,30
2006-01-01,47
2006-02-01,50
2006-03-01,34
2006-04-01,44
2006-05-01,39
2006-06-01,52
2006-07-01,65
2006-08-01,47
2006-09-01,60
2006-10-01,69
2006-11-01,41
2006-12-01,43
2007-01-01,43
2007-02-01,32
2007-03-01,53
2007-04-01,35
2007-05-01,44
2007-06-01,31
2007-07-01,41
2007-08-01,53
2007-09-01,51
2007-10-01,49
2007-11-01,26
2007-12-01,35
2008-01-01,55
2008-02-01,42
2008-03-01,45
2008-04-01,53
2008-05-01,36
2008-06-01,38
2008-07-01,39
2008-08-01,37
2008-09-01,58
2008-10-01,44
2008-11-01,26
2008-12-01,9
2009-01-01,28
2009-02-01,20
2009-03-01,29
2009-04-01,31
2009-05-01,36
2009-06-01,16
2009-07-01,32
2009-08-01,29
2009-09-01,23
2009-10-01,25
2009-11-01,20
2009-12-01,28
2010-01-01,28
2010-02-01,26
2010-03-01,17
2010-04-01,34
2010-05-01,30
2010-06-01,34
2010-07-01,31
2010-08-01,42
2010-09-01,37
2010-10-01,23
2010-11-01,18
2010-12-01,31
2011-01-01,35
2011-02-01,15
2011-03-01,30
2011-04-01,24
2011-05-01,27
2011-06-01,32
2011-07-01,34
2011-08-01,45
2011-09-01,27
2011-10-01,36
2011-11-01,25
2011-12-01,19
2012-01-01,32
2012-02-01,17
2012-03-01,19
2012-04-01,47
2012-05-01,25
2012-06-01,31
2012-07-01,35
2012-08-01,41
2012-09-01,43
2012-10-01,33
2012-11-01,27
2012-12-01,19
2013-01-01,26
2013-02-01,40
2013-03-01,24
2013-04-01,29
2013-05-01,35
2013-06-01,33
2013-07-01,37
2013-08-01,51
2013-09-01,39
2013-10-01,30
2013-11-01,24
2013-12-01,21
2014-01-01,33
2014-02-01,23
2014-03-01,32
2014-04-01,34
2014-05-01,35
2014-06-01,29
2014-07-01,38
2014-08-01,49
2014-09-01,37
2014-10-01,35
2014-11-01,41
2014-12-01,26
2015-01-01,35
2015-02-01,24
2015-03-01,21
2015-04-01,39
2015-05-01,42
2015-06-01,27
2015-07-01,33
2015-08-01,29
2015-09-01,36
2015-10-01,45
2015-11-01,22
2015-12-01,39
2016-01-01,29
2016-02-01,36
2016-03-01,46
2016-04-01,40
2016-05-01,44
2016-06-01,39
2016-07-01,40
2016-08-01,39
2016-09-01,27
2016-10-01,29
2016-11-01,20
2016-12-01,16
2017-01-01,40
2017-02-01,31
2017-03-01,34
2017-04-01,43
2017-05-01,51
2017-06-01,47
2017-07-01,38
2017-08-01,45
2017-09-01,30
2017-10-01,45
2017-11-01,23
2017-12-01,28
2018-01-01,41
2018-02-01,36
2018-03-01,37
2018-04-01,54
2018-05-01,49
2018-06-01,46
2018-07-01,59
2018-08-01,61
2018-09-01,49
2018-10-01,48
2018-11-01,38
2018-12-01,32
2019-01-01,45
2019-02-01,20
2019-03-01,35
2019-04-01,55
2019-05-01,51
2019-06-01,61
2019-07-01,50
2019-08-01,62
2019-09-01,40
2019-10-01,42
2019-11-01,46
2019-12-01,38
2020-01-01,53
2020-02-01,32
2020-03-01,28
2020-04-01,24
2020-05-01,20
2020-06-01,29
2020-07-01,40
2020-08-01,37
2020-09-01,40
2020-10-01,48
2020-11-01,36
2020-12-01,27
2021-01-01,44
2021-02-01,38
2021-03-01,42
