DATE,RECPROUSM156N
2000-06-01,0.9
2000-07-01,1.32
2000-08-01,2.02
2000-09-01,2.7
2000-10-01,6.22
2000-11-01,9.26
2000-12-01,14.92
2001-01-01,25.78
2001-02-01,33.04
2001-03-01,40.7
2001-04-01,47.88
2001-05-01,47.54
2001-06-01,48.04
2001-07-01,45.94
2001-08-01,43.78
2001-09-01,42.78
2001-10-01,35.18
2001-11-01,27.84
2001-12-01,15.82
2002-01-01,8.48
2002-02-01,5.56
2002-03-01,2.5
2002-04-01,1.52
2002-05-01,1.06
2002-06-01,1.06
2002-07-01,2.08
2002-08-01,1.56
2002-09-01,1.44
2002-10-01,1.34
2002-11-01,1.14
2002-12-01,1.72
2003-01-01,1.18
2003-02-01,1.58
2003-03-01,1.52
2003-04-01,1.16
2003-05-01,0.26
2003-06-01,0.14
2003-07-01,0.1
2003-08-01,0.18
2003-09-01,0.08
2003-10-01,0.02
2003-11-01,0.06
2003-12-01,0.28
2004-01-01,0.1
2004-02-01,0.08
2004-03-01,0.04
2004-04-01,0.1
2004-05-01,0.16
2004-06-01,1.08
2004-07-01,0.24
2004-08-01,0.06
2004-09-01,0.1
2004-10-01,0.0
2004-11-01,0.14
2004-12-01,0.02
2005-01-01,0.0
2005-02-01,0.02
2005-03-01,0.22
2005-04-01,0.08
2005-05-01,0.1
2005-06-01,0.0
2005-07-01,0.68
2005-08-01,1.88
2005-09-01,7.26
2005-10-01,0.14
2005-11-01,0.0
2005-12-01,0.02
2006-01-01,0.06
2006-02-01,0.06
2006-03-01,0.04
2006-04-01,0.14
2006-05-01,0.24
2006-06-01,0.18
2006-07-01,0.24
2006-08-01,0.12
2006-09-01,0.2
2006-10-01,0.28
2006-11-01,0.18
2006-12-01,0.06
2007-01-01,0.32
2007-02-01,0.1
2007-03-01,0.12
2007-04-01,0.16
2007-05-01,0.56
2007-06-01,0.88
2007-07-01,1.1
2007-08-01,1.06
2007-09-01,1.56
2007-10-01,3.82
2007-11-01,5.66
2007-12-01,14.78
2008-01-01,31.62
2008-02-01,56.52
2008-03-01,73.76
2008-04-01,86.46
2008-05-01,91.1
2008-06-01,94.56
2008-07-01,98.78
2008-08-01,99.9
2008-09-01,99.98
2008-10-01,96.08
2008-11-01,99.94
2008-12-01,100.0
2009-01-01,100.0
2009-02-01,99.92
2009-03-01,99.9
2009-04-01,97.84
2009-05-01,90.82
2009-06-01,71.02
2009-07-01,7.56
2009-08-01,2.56
2009-09-01,1.84
2009-10-01,1.04
2009-11-01,0.48
2009-12-01,0.32
2010-01-01,0.12
2010-02-01,0.04
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.56
2010-07-01,0.2
2010-08-01,0.2
2010-09-01,0.16
2010-10-01,0.1
2010-11-01,0.08
2010-12-01,0.02
2011-01-01,0.08
2011-02-01,0.2
2011-03-01,0.08
2011-04-01,0.32
2011-05-01,0.3
2011-06-01,0.1
2011-07-01,0.04
2011-08-01,0.04
2011-09-01,0.08
2011-10-01,0.02
2011-11-01,0.06
2011-12-01,0.04
2012-01-01,0.04
2012-02-01,0.24
2012-03-01,0.42
2012-04-01,0.16
2012-05-01,0.12
2012-06-01,0.36
2012-07-01,0.3
2012-08-01,0.26
2012-09-01,0.08
2012-10-01,0.1
2012-11-01,0.0
2012-12-01,0.1
2013-01-01,0.08
2013-02-01,0.12
2013-03-01,0.14
2013-04-01,0.14
2013-05-01,0.02
2013-06-01,0.1
2013-07-01,0.36
2013-08-01,0.06
2013-09-01,0.04
2013-10-01,0.12
2013-11-01,0.12
2013-12-01,0.16
2014-01-01,0.26
2014-02-01,0.04
2014-03-01,0.02
2014-04-01,0.02
2014-05-01,0.02
2014-06-01,0.04
2014-07-01,0.02
2014-08-01,0.14
2014-09-01,0.1
2014-10-01,0.12
2014-11-01,0.1
2014-12-01,0.28
2015-01-01,0.7
2015-02-01,1.18
2015-03-01,1.26
2015-04-01,0.8
2015-05-01,0.78
2015-06-01,0.64
2015-07-01,0.42
2015-08-01,0.68
2015-09-01,0.82
2015-10-01,1.02
2015-11-01,1.54
2015-12-01,1.14
2016-01-01,0.76
2016-02-01,1.3
2016-03-01,1.3
2016-04-01,0.98
2016-05-01,0.62
2016-06-01,0.18
2016-07-01,0.16
2016-08-01,0.28
2016-09-01,0.24
2016-10-01,0.26
2016-11-01,0.18
2016-12-01,0.08
2017-01-01,0.2
2017-02-01,0.4
2017-03-01,0.12
2017-04-01,0.04
2017-05-01,0.14
2017-06-01,0.18
2017-07-01,0.14
2017-08-01,0.2
2017-09-01,0.1
2017-10-01,0.02
2017-11-01,0.12
2017-12-01,0.12
2018-01-01,0.52
2018-02-01,0.12
2018-03-01,0.06
2018-04-01,0.04
2018-05-01,0.26
2018-06-01,0.0
2018-07-01,0.04
2018-08-01,0.0
2018-09-01,0.12
2018-10-01,0.08
2018-11-01,0.06
2018-12-01,0.16
2019-01-01,0.66
2019-02-01,1.1
2019-03-01,0.72
2019-04-01,1.0
2019-05-01,0.48
2019-06-01,0.22
2019-07-01,0.28
2019-08-01,0.12
2019-09-01,0.48
2019-10-01,0.38
2019-11-01,0.22
2019-12-01,0.46
2020-01-01,0.14
2020-02-01,0.04
2020-03-01,100.0
2020-04-01,100.0
2020-05-01,0.12
2020-06-01,0.06
2020-07-01,0.02
2020-08-01,0.0
2020-09-01,0.06
2020-10-01,0.04
2020-11-01,0.24
2020-12-01,0.22
2021-01-01,0.02
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.92
